FabricType,StitchCount,ThreadTension,SeamStrength,ColorConsistency,MeasurementAccuracy,ButtonAttachmentStrength,LabelPositionAccuracy,PrintAlignment,BrokenStitches,OilStains,LooseThreads,IroningQuality,PackingQuality,Shift,GarmentType,Humidity,Temperature,ProductionTimePerPiece(min),DefectCountInBatch,IsDefective
Polyester,44.1116002,3.340515751,25.93557881,1,98.89731797,25.81,0,Aligned,16.40510956,1,7,1,Damaged,Night,Jeans,49.67471459,28.70295026,5.66,5,1
Cotton,46.22792453,4.010053233,36.5016386,1,99.33839078,30.7,0,Aligned,12.70535592,0,1,1,Wet,Morning,Blazer,46.49510267,28.88404017,6.84,3,0
Cotton,54.54427634,4.089811136,25.25998939,0,99.11785438,35.61,1,Slightly Off,13.89898087,1,3,1,Good,Evening,Blazer,60.39121284,27.31752728,3.5,4,0
Denim,57.60770482,4.67257381,40.7407604,1,99.11785438,32.57,1,Aligned,8.41314024,0,5,0,Damaged,Morning,Jeans,30.49263072,21.4766177,3.45,4,0
Polyester,50.51214496,4.179869488,35.81241685,1,99.33839078,20.16,1,Slightly Off,12.65964255,1,9,0,Damaged,Night,Jeans,53.6154445,24.54601322,6.48,3,0
Polyester,30,3.750683052,31.37577675,1,99.11785438,37,1,Slightly Off,13.52652959,1,0,1,Damaged,Morning,Blazer,36.78456692,29.74036142,3.55,4,1
Linen,38.20584572,3.524407815,18.18755787,1,98.89731797,24.82,0,Misaligned,10.88450237,0,5,0,Damaged,Morning,Blazer,48.07493424,25.37451976,6.72,5,1
Polyester,38.34357957,3.82908909,34.48437907,1,99.33839078,22.88,0,Aligned,15.34690225,1,6,1,Wet,Evening,Shirt,52.86256733,26.49020565,5.33,3,1
Polyester,45.09380337,3.49653632,24.89298822,1,99.11785438,33.28,1,Aligned,7.320962441,1,5,1,Good,Night,Shirt,50.94358258,27.8741834,3.82,4,1
Linen,48.76211858,4.02391266,30.66822534,0,99.11785438,31.81,0,Misaligned,12.57529579,1,4,0,Good,Evening,Trousers,61.81148062,24.0693186,4.74,4,1
Polyester,39.25489099,3.71790191,29.23143729,0,99.55892719,36.13,1,Aligned,8.681964161,1,1,0,Damaged,Night,Shirt,67.49665104,23.15266523,5.75,2,0
Denim,40.55758603,3.252981103,27.24610293,0,100,22.23,0,Misaligned,10.42713287,1,5,1,Good,Morning,Shirt,74.5815949,26.96228479,4.21,0,1
Polyester,48.4134129,4.627572894,38.93886728,1,99.55892719,25.11,1,Slightly Off,13.70281488,0,7,0,Damaged,Evening,Blazer,54.92485186,25.88765191,3.84,2,1
Cotton,39.79514937,3.751163738,32.68783157,0,99.77946359,24.58,0,Aligned,9.197898014,1,8,1,Good,Morning,Shirt,66.61084644,27.68342219,4.43,1,0
Cotton,36.84007252,3.365931598,29.37501331,0,99.55892719,27.64,0,Misaligned,9.841719791,0,9,0,Damaged,Evening,Shirt,69.63946882,22.70457733,5.37,2,1
Linen,49.6911268,3.915870433,32.08574507,1,99.77946359,27.44,0,Aligned,13.90922575,0,2,0,Wet,Morning,Blazer,50.23735234,25.39585147,6.43,1,0
Cotton,55.40743779,4.034185783,33.52125424,0,98.89731797,33.88,0,Aligned,8.599276182,1,6,1,Damaged,Evening,Trousers,67.33093363,29.06679578,5.41,5,0
Denim,34.5911574,3.126766637,21.74187195,1,99.55892719,35.3,0,Aligned,16.80109531,1,2,0,Good,Evening,Blazer,33.24314044,35,4.59,2,0
Polyester,56.60217921,4.165823834,31.07351025,1,99.11785438,29.27,0,Misaligned,13.60216788,1,8,1,Wet,Morning,Trousers,57.97705698,27.35793417,6.68,4,0
Denim,41.95407234,3.476421216,30.4977504,0,99.11785438,32.93,0,Misaligned,10.71422598,1,10,1,Wet,Night,Shirt,71.05461435,29.01252705,3.3,4,0
Cotton,59.44686366,4.855514405,41.3557437,1,98.89731797,28.99,1,Slightly Off,13.23009824,0,4,1,Damaged,Night,Shirt,55.993164,28.46275535,4.27,5,1
Cotton,50.82474028,4.261980256,36.2672403,1,99.33839078,26.01,0,Aligned,5.660332035,1,1,1,Good,Morning,Blazer,53.09610518,27.88037607,4.46,3,1
Linen,44.61403129,3.800050005,28.85714975,1,99.55892719,22.05,0,Slightly Off,13.81737413,1,4,1,Good,Night,Jeans,53.0457423,29.0460859,5.21,2,0
Polyester,45.72549356,3.627416115,31.75080531,0,100,20.22,1,Misaligned,9.006473198,0,8,0,Damaged,Morning,Shirt,69.68464229,24.12343225,3.98,0,0
Cotton,51.07179969,3.947516146,28.09639581,1,99.11785438,28.81,1,Misaligned,10.53506947,0,7,0,Good,Evening,Shirt,39.08320776,25.92850161,4.57,4,1
Polyester,47.25368793,4.306395371,37.6832424,1,99.55892719,21.4,0,Aligned,10.01107946,0,8,1,Damaged,Night,Jeans,51.08996893,27.74968984,4.5,2,1
Linen,46.90053288,3.987252936,31.11541108,0,99.77946359,28.68,0,Misaligned,15.86968608,1,1,0,Good,Evening,Blazer,63.42317041,24.1008823,6.9,1,1
Denim,55.04342264,3.891420596,36.18387599,1,99.33839078,33.41,0,Misaligned,10.71332103,0,8,1,Wet,Evening,Blazer,58.17891096,28.29998429,6.54,3,0
Denim,49.23616502,4.029185145,27.66915489,0,100,34.82,0,Misaligned,11.70577152,0,3,0,Damaged,Night,Shirt,66.86869938,21.25068211,3.06,0,0
Polyester,45.81031568,3.698070534,34.87477641,0,100,37.17,1,Slightly Off,11.28933851,0,5,1,Good,Night,Shirt,61.82261809,29.43652938,4.51,0,0
Denim,51.77710713,3.828397037,29.54278331,1,99.55892719,36.42,1,Misaligned,9.395285486,1,1,1,Good,Morning,Shirt,50.28123241,26.54877003,5.27,2,1
Linen,32.97902287,2.957103781,22.51839248,0,99.11785438,39.76,1,Aligned,10.9948887,0,1,1,Wet,Evening,Shirt,60.81464669,29.08233247,6.57,4,0
Cotton,53.67255428,4.486863115,36.47942138,1,99.11785438,38.37,0,Slightly Off,11.95245875,1,5,1,Wet,Evening,Trousers,41.8041518,29.99073744,5.39,4,0
Polyester,53.87701116,4.14939889,31.10395438,1,99.11785438,30.01,1,Misaligned,11.62203536,1,4,0,Wet,Night,Blazer,34.82809831,31.22912097,3.22,4,1
Denim,49.55377609,3.613272078,28.68918962,1,99.11785438,33.9,0,Misaligned,15.06100559,0,3,1,Good,Night,Blazer,48.88490796,27.80605299,5.87,4,1
Cotton,47.56669342,4.949367491,37.38206113,1,99.11785438,30.77,0,Misaligned,9.375074691,0,3,0,Good,Evening,Blazer,55.79895046,21.80027479,6.54,4,1
Linen,44.83875493,4.04350824,30.24487533,1,98.89731797,28.53,1,Aligned,11.28400689,0,2,0,Wet,Morning,Jeans,46.88371408,21.71598422,5.89,5,0
Polyester,36.79131204,3.481928214,29.31608356,1,99.77946359,38.72,0,Aligned,15.33340239,0,2,0,Damaged,Morning,Shirt,56.74380399,23.20596796,3.89,1,0
Linen,52.52129901,4.428368711,32.7222532,1,100,33.65,0,Aligned,10.02693981,1,1,1,Good,Night,Trousers,55.58527412,29.16073158,4.68,0,0
Polyester,45.77492542,4.199024108,31.28761016,1,98.89731797,34.04,0,Misaligned,7.283180588,1,4,0,Good,Night,Jeans,36.39889779,22.77408881,6.83,5,0
Denim,53.68800741,4.197289993,29.45994619,1,98.89731797,28.67,0,Misaligned,14.14806098,1,1,1,Good,Evening,Shirt,49.60320816,26.29736937,4.21,5,0
Linen,46.30751808,3.787122198,28.78518554,0,99.33839078,34.05,1,Misaligned,10.39433254,1,6,0,Damaged,Night,Trousers,64.41037822,25.73341055,6.65,3,1
Polyester,55.14892519,4.225247862,37.73678898,1,100,27.42,0,Misaligned,11.75016396,0,3,1,Good,Evening,Blazer,59.86514416,28.08257579,5.4,0,1
Cotton,51.19449005,3.869120855,28.41516592,1,100,30.59,1,Misaligned,10.38221702,0,8,1,Good,Morning,Shirt,48.03545855,29.1457282,4.79,0,1
Denim,54.7310788,4.277970726,32.02886601,0,99.77946359,36.51,0,Aligned,8.526553393,1,5,1,Good,Evening,Shirt,61.18902333,27.28475254,6.33,1,0
Denim,34.89138052,3.047527773,24.96198802,0,99.33839078,23.88,1,Aligned,8.208779275,1,0,1,Wet,Night,Shirt,72.5517423,29.40526792,6.41,3,0
Polyester,45.91814692,3.783063269,29.15211685,1,99.33839078,32.07,0,Slightly Off,13.45137043,1,7,0,Wet,Morning,Trousers,50.75542846,23.69808197,5.74,3,0
Linen,56.02856106,4.861077549,45.57308369,0,100,22.15,1,Slightly Off,0.096101363,1,6,0,Good,Evening,Shirt,62.41435432,30.0624059,5.18,0,1
Denim,36.5739187,3.616466272,28.44414628,0,99.77946359,35.67,0,Misaligned,16.66210178,0,6,1,Good,Night,Shirt,60.83603322,27.39431182,3.41,1,0
Denim,49.14590945,3.698080851,30.59030185,1,100,28.82,0,Misaligned,15.69988658,0,2,1,Good,Morning,Shirt,50.22615644,29.27886526,4.16,0,0
Cotton,44.89190883,3.776019331,33.039461,1,99.11785438,22.94,0,Aligned,9.719454732,0,9,0,Good,Morning,Blazer,43.67202199,25.44843362,5.18,4,1
Cotton,33.19810336,3.392596932,29.91450905,0,99.77946359,23.21,1,Misaligned,17.97956487,0,3,0,Damaged,Morning,Blazer,71.50666529,20.84769105,3.28,1,0
Linen,37.4350632,2.895859612,23.86673964,0,99.33839078,28.8,1,Misaligned,20.39067836,1,4,1,Wet,Night,Shirt,65.88624643,28.99682783,5.07,3,1
Linen,45.49673702,3.884706801,30.59427195,1,99.33839078,37.37,0,Slightly Off,11.41063698,1,6,1,Wet,Night,Jeans,52.21957613,26.56971579,5.89,3,0
Cotton,38.51613668,4.067929712,38.61552331,0,100,27.94,1,Aligned,13.0970519,0,8,0,Wet,Morning,Blazer,67.1354166,30.60550065,6.83,0,1
Polyester,40.81632323,3.973747466,31.4906989,0,99.11785438,31.69,1,Aligned,12.46131397,1,4,1,Good,Night,Blazer,60.54858478,28.26558212,5.92,4,1
Polyester,43.62767284,3.927560719,30.09541544,0,99.77946359,30.9,0,Aligned,16.68572651,1,1,0,Wet,Morning,Blazer,67.06212792,35,5.46,1,1
Denim,49.31080552,4.021520435,30.23461652,1,99.33839078,29.94,1,Misaligned,7.779062095,1,6,0,Good,Evening,Shirt,37.0749208,30.8126548,6.8,3,1
Cotton,58.07714875,4.511420736,30.91095628,1,99.11785438,30.85,0,Slightly Off,10.29504981,0,5,1,Good,Night,Blazer,50.91708457,26.25436332,6.27,4,1
Linen,50.62616754,3.904776907,33.70306251,0,100,28.46,0,Misaligned,14.94863976,1,4,0,Damaged,Night,Trousers,70.73438582,22.24536026,6.97,0,1
Polyester,47.56981931,3.712958711,22.6594645,0,100,26.49,0,Aligned,15.0146842,0,6,0,Good,Morning,Trousers,80,24.38578832,4.55,0,0
Polyester,46.14143523,3.859437258,30.85832954,1,99.55892719,21.77,1,Aligned,12.15270095,0,2,0,Wet,Evening,Blazer,51.10226072,24.1872031,6.25,2,0
Linen,60.08724211,4.28967338,33.70280514,1,99.77946359,36.89,0,Aligned,15.59758646,0,1,0,Wet,Night,Trousers,50.928163,25.43693815,6.55,1,1
Denim,59.97151749,4.706013439,44.36800309,0,99.55892719,34.17,1,Aligned,11.28840811,1,10,1,Good,Morning,Blazer,61.83061986,26.62399838,5.93,2,0
Polyester,45.34166441,3.68592813,23.99247136,1,99.77946359,29.11,0,Misaligned,12.96924429,0,7,1,Good,Evening,Jeans,58.44260446,27.95330233,5.44,1,0
Cotton,51.42654325,4.049466894,29.69242529,0,99.55892719,26.44,0,Misaligned,13.99219528,0,6,0,Wet,Night,Jeans,60.33281586,31.12240282,3.42,2,1
Denim,48.03496964,4.169178721,32.94514039,1,99.77946359,27.23,1,Aligned,11.47895659,1,9,0,Damaged,Morning,Trousers,33.37715544,24.38759925,5.72,1,1
Denim,41.75831395,3.503710997,27.43709996,1,99.55892719,31.99,0,Aligned,13.14336271,1,9,0,Wet,Evening,Blazer,52.61259075,22.83447304,3.42,2,1
Polyester,37.71273281,4.010208584,30.4330349,0,99.33839078,26.23,0,Misaligned,9.617706845,0,3,1,Good,Evening,Shirt,63.05349114,29.49297989,4.81,3,0
Cotton,37.27221854,3.267163071,25.89434084,1,99.33839078,22.4,1,Misaligned,22.26588284,0,8,0,Good,Evening,Trousers,31.45623158,30.99681558,4.63,3,1
Denim,46.18513826,3.115474848,21.1451106,1,99.11785438,37.72,0,Slightly Off,12.34881168,1,4,0,Good,Morning,Jeans,38.82595068,25.5286007,6.66,4,0
Denim,50.94235483,4.183373204,34.53856427,1,99.55892719,25.87,0,Aligned,13.82098694,0,9,0,Wet,Morning,Blazer,37.26097351,30.12338119,6,2,0
Linen,46.23045044,3.808062629,23.50004501,0,99.77946359,36.61,0,Misaligned,18.11004629,0,8,1,Damaged,Evening,Blazer,61.50724452,29.31079758,3.03,1,0
Linen,54.20670292,4.101140204,32.73181356,1,99.55892719,32.91,1,Misaligned,7.769260001,0,10,0,Good,Morning,Blazer,45.70386334,21.87486101,4.45,2,1
Polyester,49.68175722,3.991052511,30.12735001,1,99.33839078,28.74,1,Slightly Off,13.85141866,1,5,0,Good,Night,Shirt,42.99039598,25.09005492,3.89,3,0
Denim,38.20918069,3.511799976,31.14326363,1,99.77946359,26.11,1,Slightly Off,13.04588815,0,8,0,Damaged,Night,Shirt,55.54981473,25.56973453,6.55,1,1
Cotton,47.84676175,3.977372849,37.084916,1,99.11785438,35.73,0,Misaligned,17.42944913,0,6,0,Good,Night,Blazer,42.59428068,32.96580955,4.78,4,0
Cotton,34.92529655,3.383449347,26.07443827,1,99.33839078,29.08,1,Slightly Off,10.50546796,1,8,1,Good,Evening,Jeans,59.51596967,28.52581832,5.45,3,1
Polyester,57.263895,4.695486179,41.73606722,0,99.11785438,22.82,1,Slightly Off,8.352263419,1,5,0,Wet,Morning,Blazer,79.13926931,25.48979966,4.13,4,0
Denim,35.67542817,3.322014828,25.62776978,1,99.11785438,39.03,1,Misaligned,13.20624584,1,7,0,Damaged,Morning,Jeans,51.31301327,24.90857241,6.31,4,1
Cotton,51.46676143,3.902107365,28.31847935,1,99.11785438,30.99,0,Aligned,10.7152421,0,7,0,Damaged,Night,Jeans,35.56973181,22.29023174,6.33,4,0
Cotton,39.19516736,3.478864206,33.06862454,1,99.11785438,37.82,1,Slightly Off,11.66443873,1,8,0,Good,Evening,Trousers,50.47104352,30.1984059,6.6,4,0
Cotton,47.29900749,4.285210587,35.84401403,1,99.11785438,20.03,0,Aligned,17.5148668,1,9,1,Good,Evening,Blazer,59.899617,28.18687658,5.12,4,0
Polyester,45.44725183,3.834284314,30.68759008,1,99.33839078,25.23,0,Aligned,12.71255948,1,10,1,Good,Night,Jeans,58.90020973,28.8583387,6.96,3,1
Denim,46.71495878,3.74066664,31.98686555,0,99.11785438,28.49,0,Aligned,10.16461042,0,9,0,Good,Evening,Trousers,63.38438146,23.14326864,4.41,4,1
Cotton,47.08254929,4.426600773,36.23545129,1,99.55892719,24.71,0,Misaligned,9.976748203,0,1,1,Wet,Night,Shirt,49.06205469,29.20738764,4.84,2,0
Polyester,45.57025056,4.014715296,31.91006414,1,99.11785438,39.58,0,Slightly Off,13.18524409,0,5,1,Wet,Evening,Shirt,52.19965929,26.28577567,5.55,4,1
Denim,51.6256782,4.258322223,30.0872733,1,99.77946359,36.53,1,Aligned,12.49545831,0,10,0,Good,Evening,Jeans,30.4805428,24.81861595,5.17,1,0
Cotton,48.80388713,3.509337032,27.26308604,0,99.77946359,25.5,1,Slightly Off,11.24953469,1,6,1,Damaged,Morning,Jeans,61.14051315,28.53930024,5.14,1,0
Denim,30,3.297591528,28.25049849,1,100,37.91,0,Misaligned,8.52072187,0,3,0,Good,Night,Blazer,41.89830496,23.39973305,4.63,0,1
Denim,51.71906379,4.053603981,32.06051757,1,99.11785438,35.93,1,Slightly Off,11.74117126,0,0,1,Good,Night,Shirt,57.00059129,27.53711476,3.09,4,0
Polyester,44.16909405,3.840576822,33.43159186,1,99.11785438,39.25,0,Slightly Off,12.08606158,1,3,1,Good,Night,Trousers,46.28760271,26.20364801,6.16,4,0
Linen,49.2855563,4.313217336,35.65670376,1,99.33839078,20.15,1,Slightly Off,9.435174664,0,9,0,Damaged,Night,Jeans,54.13132761,30.21757604,3.01,3,0
Cotton,44.11491448,3.960045774,29.04595724,0,99.55892719,34.68,0,Misaligned,15.91924775,0,9,1,Damaged,Morning,Blazer,64.58427366,29.67567431,5.65,2,0
Denim,47.41097412,4.10253767,28.86278548,1,100,25.62,1,Misaligned,13.51865836,1,4,1,Damaged,Night,Shirt,50.6281575,27.27259832,5.92,0,1
Polyester,41.36379082,3.188308735,25.03493438,1,98.89731797,23.35,0,Misaligned,14.02783762,1,8,1,Wet,Night,Trousers,47.60341736,27.84277498,4.07,5,1
Cotton,56.64668928,4.94421847,37.98106241,1,99.77946359,33.27,0,Aligned,9.029429183,0,6,1,Wet,Evening,Trousers,55.02580044,28.79581466,3.31,1,0
Linen,55.30750817,3.917879007,32.35199749,1,99.77946359,27.56,1,Misaligned,17.36332786,0,5,1,Good,Evening,Trousers,48.5751473,26.97269831,6.76,1,0
Cotton,55.30485574,4.348793485,32.63593491,1,98.89731797,20.76,1,Slightly Off,7.838994507,0,5,0,Damaged,Evening,Shirt,45.58183988,24.54690152,6.23,5,0
Linen,43.9733106,3.581954165,26.80945634,0,99.33839078,33.27,1,Misaligned,11.34630348,0,6,0,Damaged,Morning,Shirt,73.66589345,25.55126279,5.57,3,0
Cotton,49.01777882,4.154004951,36.39124876,1,98.89731797,35.59,0,Slightly Off,10.33488584,0,4,0,Wet,Morning,Jeans,36.4515497,23.33826984,6.29,5,0
Denim,46.13220244,3.348577618,27.23322985,0,99.11785438,29.46,0,Misaligned,14.1997266,0,10,1,Wet,Evening,Jeans,61.53858131,29.7762253,4.7,4,1
Denim,57.39250546,4.226033919,31.70009016,1,99.33839078,34.91,0,Aligned,13.53058665,1,9,1,Wet,Night,Jeans,53.64400131,28.19370982,3.17,3,1
Polyester,40.05724476,3.822012958,30.62902909,1,99.33839078,24.02,1,Misaligned,8.346250227,1,7,0,Damaged,Morning,Trousers,46.74165351,25.73077227,5.2,3,0
Linen,44.6656525,4.014595252,36.25349574,1,98.89731797,34.33,1,Misaligned,9.916979422,0,3,0,Damaged,Evening,Blazer,58.47400886,24.82541659,5.88,5,0
Polyester,55.36099521,4.348987015,35.67325619,1,99.11785438,29.96,1,Misaligned,12.64495915,0,5,1,Good,Morning,Shirt,55.34404889,27.7089656,5.65,4,1
Linen,45.28816285,3.383729844,28.84869118,0,98.89731797,23.59,1,Slightly Off,11.23710049,1,1,0,Good,Night,Shirt,68.20530079,22.76105735,3.3,5,1
Polyester,42.39134687,3.657754135,27.00532947,1,99.77946359,21.47,0,Aligned,11.47916347,0,1,0,Good,Morning,Shirt,43.65497825,23.79396863,4.97,1,1
Linen,47.03172139,4.228662141,36.90855526,1,99.33839078,33.55,0,Slightly Off,12.06060983,1,10,1,Good,Evening,Trousers,49.83860749,26.94124048,3.47,3,0
Linen,60.98239198,5.049110737,47.34719268,0,99.11785438,27.96,0,Aligned,6.962002083,1,8,0,Wet,Night,Jeans,65.11602414,34.32331027,3.27,4,1
Polyester,54.55497315,3.930958833,29.07326773,1,98.89731797,32.76,1,Slightly Off,12.9709163,0,4,1,Good,Night,Trousers,52.95038179,28.35718228,6.43,5,1
Cotton,51.75198801,4.295568059,30.81886255,0,99.77946359,26.73,0,Slightly Off,13.24654339,0,5,1,Wet,Evening,Blazer,60.46753078,27.55589759,6.95,1,1
Cotton,41.03846733,3.946514265,32.09874085,0,99.77946359,35.99,1,Slightly Off,12.22213181,0,9,0,Wet,Evening,Jeans,67.14802944,23.48765469,4.89,1,1
Polyester,60.20138971,4.971122797,42.39549753,0,99.11785438,32.08,1,Aligned,14.33390585,1,8,0,Wet,Morning,Jeans,60.62191763,24.20089991,5.61,4,1
Cotton,41.43041035,3.126389167,24.73694432,1,98.89731797,27.38,1,Slightly Off,15.9234892,0,3,0,Damaged,Morning,Trousers,48.88867942,31.06893665,6.73,5,0
Linen,48.06083971,4.047310522,29.21886499,1,99.55892719,32.12,1,Aligned,11.78261376,0,1,0,Damaged,Night,Blazer,51.49008422,25.61432327,4.74,2,1
Denim,44.53756986,3.187227983,25.17207138,0,98.89731797,33.91,0,Slightly Off,12.66126969,0,8,1,Wet,Evening,Trousers,67.23284527,27.21196295,5.12,5,0
Polyester,37.28981575,2.746714215,23.76799054,1,99.11785438,32.88,0,Slightly Off,19.77072929,1,6,1,Good,Evening,Trousers,56.55212081,28.77542798,4.22,4,0
Cotton,49.4759777,4.148731027,31.96875273,1,99.11785438,35.74,1,Misaligned,9.718166636,1,7,0,Wet,Night,Jeans,52.96275626,25.73986119,6.8,4,0
Cotton,49.05270688,4.069748898,34.37975624,1,99.55892719,37.77,0,Misaligned,11.04398454,0,7,0,Damaged,Night,Blazer,58.83609979,25.47691401,3.13,2,1
Denim,37.08217985,3.857581531,34.3547846,1,99.11785438,22.28,0,Slightly Off,11.05538685,1,5,0,Damaged,Evening,Shirt,42.15771925,21.82566048,4.56,4,1
Denim,53.41396908,3.946902955,32.29591552,1,98.89731797,37.47,1,Aligned,13.29960426,1,7,0,Damaged,Morning,Jeans,52.63247158,23.35258068,3.75,5,1
Polyester,64.94220986,5.549149717,44.30935442,1,99.55892719,20.67,0,Misaligned,15.66716945,0,1,1,Damaged,Evening,Jeans,54.21464303,28.76046307,5.19,2,0
Denim,44.45116548,3.870912431,33.45533122,1,100,35.99,0,Aligned,12.99819327,0,1,0,Good,Morning,Shirt,54.0511702,25.68438357,4.28,0,0
Cotton,48.31147813,4.255062181,31.47219496,1,98.89731797,30.77,0,Misaligned,10.52365346,1,2,1,Wet,Night,Blazer,51.05732481,29.00549131,6.61,5,1
Denim,46.38729889,3.67531759,26.53841122,1,98.89731797,30.83,0,Misaligned,13.21537954,0,5,0,Good,Night,Blazer,51.91199682,22.24563243,5.66,5,0
Polyester,44.12793045,4.147616288,32.38121345,1,100,34.04,1,Slightly Off,7.7661916,1,2,1,Damaged,Night,Jeans,53.86032088,29.43397746,6.14,0,0
Cotton,41.64973404,3.880883162,29.57142694,0,99.11785438,36.26,0,Aligned,11.67488045,0,7,1,Wet,Night,Blazer,69.60277752,26.88103575,4.69,4,0
Cotton,45.2742636,3.794740759,27.94790014,1,99.55892719,37,0,Misaligned,17.52277135,0,6,0,Wet,Evening,Trousers,32.96904533,22.58801025,5.69,2,1
Cotton,55.78082454,4.909449266,44.76699955,0,99.77946359,30.78,0,Misaligned,12.16707146,0,4,0,Good,Evening,Shirt,61.98972857,30.38757195,4.02,1,0
Polyester,56.73927765,4.588592482,43.22471948,1,98.89731797,25.33,1,Misaligned,14.515717,0,2,0,Damaged,Morning,Trousers,54.13234731,22.78001946,6.37,5,1
Linen,45.87103349,4.068373324,31.48587146,1,98.89731797,33.34,1,Slightly Off,14.90329257,0,0,0,Damaged,Night,Blazer,54.38198527,30.23190383,5.82,5,1
Cotton,42.14990971,2.847894032,23.05830911,1,99.55892719,34.26,0,Aligned,12.17781306,1,6,1,Wet,Morning,Blazer,50.93804943,26.90305506,5.24,2,1
Polyester,49.30123219,3.819495388,29.99243465,0,99.55892719,21.85,1,Misaligned,18.09697394,0,5,0,Good,Morning,Trousers,60.01807814,24.31900181,5.86,2,0
Cotton,67.62259645,5.351513782,46.13460798,0,100,25.77,1,Misaligned,3.9688268,1,3,0,Wet,Morning,Shirt,64.50207031,32.54521321,6.98,0,1
Denim,43.59122123,3.884669167,34.99429002,1,99.33839078,39.16,0,Misaligned,13.22815383,1,6,1,Damaged,Evening,Trousers,36.03803054,28.21568885,6.67,3,1
Linen,66.6477038,4.551608786,31.08107889,0,99.55892719,30.09,0,Misaligned,4.717832246,1,3,0,Damaged,Night,Shirt,75.93939461,30.64419767,5.77,2,0
Cotton,54.45659934,4.720971201,39.19580201,1,99.33839078,35.18,1,Slightly Off,5.41813476,1,9,1,Good,Morning,Trousers,56.44121699,28.29777638,3.3,3,0
Denim,45.74473211,4.109481958,28.95539164,1,99.77946359,36.46,1,Slightly Off,14.58773154,1,2,1,Wet,Evening,Blazer,56.09686051,26.35066832,3.44,1,0
Polyester,46.48278319,3.579089184,33.90752995,1,99.77946359,39.7,0,Aligned,10.76782331,0,9,0,Damaged,Evening,Trousers,41.05784088,24.38777114,5.34,1,0
Denim,34.36426667,2.782343834,23.57949476,1,99.77946359,33.48,0,Slightly Off,18.16996906,0,7,1,Wet,Night,Blazer,49.28996975,26.4564013,6.26,1,0
Polyester,48.01305771,4.342081604,32.26660422,0,99.55892719,28.93,0,Slightly Off,4.792734455,0,10,1,Good,Evening,Trousers,68.5906695,27.4902597,4.1,2,1
Polyester,54.09069979,3.592621999,28.01701182,1,99.55892719,29.73,1,Misaligned,12.5492314,1,2,1,Wet,Evening,Trousers,55.68676592,29.44984588,3.12,2,0
Denim,53.9349002,4.088075226,31.83767003,1,99.77946359,33.59,1,Aligned,8.176022173,0,8,0,Damaged,Evening,Trousers,59.15757982,25.82057656,3.15,1,0
Cotton,40.52110447,3.37508983,28.57605747,1,99.77946359,34.66,1,Aligned,12.26425639,1,5,1,Wet,Evening,Jeans,50.38808371,28.54063305,4.45,1,0
Linen,58.41412541,3.86738123,34.06478765,0,99.11785438,26.73,1,Slightly Off,16.91028339,1,5,0,Damaged,Morning,Shirt,74.70767305,32.03548446,3.48,4,1
Denim,52.25621505,4.016859527,28.69025434,1,99.11785438,34.78,0,Aligned,17.34168759,1,4,1,Wet,Morning,Trousers,53.46739052,27.47462348,5.37,4,1
Linen,49.55205664,4.134296791,38.59063783,0,99.11785438,38.51,1,Aligned,13.27019316,1,5,0,Good,Night,Shirt,66.30510868,21.12280035,5.58,4,1
Cotton,52.7182551,3.442588906,32.35778157,1,99.77946359,29.8,0,Aligned,8.330963347,1,3,1,Wet,Evening,Jeans,53.48729321,27.14551257,3.99,1,0
Linen,58.47638936,4.598455474,34.16167309,1,99.33839078,23.35,1,Misaligned,7.183034394,1,8,1,Good,Evening,Shirt,58.47536399,26.71590983,3.19,3,0
Cotton,47.4948576,3.701552608,29.83082624,1,99.33839078,20.36,0,Slightly Off,13.07705967,0,8,1,Damaged,Morning,Blazer,58.52199617,26.62095759,4.74,3,1
Denim,36.0214451,3.16276527,30.43454779,0,99.55892719,22.05,0,Misaligned,11.25674275,0,10,0,Damaged,Evening,Shirt,64.24567782,22.21299626,4.68,2,1
Cotton,47.59292691,3.94548829,35.26266208,0,99.77946359,21.19,0,Misaligned,14.08294103,1,5,1,Wet,Evening,Blazer,62.38771047,27.82940267,3.92,1,0
Denim,46.15278687,4.017187655,31.12727215,1,99.55892719,30.07,1,Misaligned,16.99340007,0,2,0,Wet,Evening,Jeans,50.25930943,25.4043307,3.11,2,0
Linen,56.16221533,4.080294717,35.08537718,0,99.33839078,35.83,0,Misaligned,8.891400885,1,5,1,Wet,Night,Blazer,66.59038555,26.68340673,6.43,3,0
Cotton,48.12572371,4.681066202,46.44012449,1,99.11785438,30.74,1,Slightly Off,7.952682917,1,6,1,Damaged,Evening,Trousers,45.09861496,29.84401135,3.95,4,0
Polyester,53.41065914,3.881775582,31.3696846,1,99.77946359,30.31,1,Misaligned,8.695143298,1,4,0,Damaged,Morning,Blazer,43.16454749,24.56542337,4.54,1,1
Denim,42.89556961,3.940190188,29.62357675,1,99.11785438,30.83,1,Slightly Off,11.35684285,0,8,1,Wet,Evening,Jeans,52.08581981,26.69281727,4.07,4,0
Cotton,41.0912877,3.448407809,28.10452203,1,99.33839078,22.4,0,Aligned,13.25986682,1,8,1,Good,Night,Blazer,58.93401203,26.39321506,6.45,3,1
Cotton,51.44723908,4.410276751,36.0218703,1,99.77946359,23.57,1,Slightly Off,11.24419095,1,0,1,Good,Morning,Blazer,44.77741768,26.50268291,4.77,1,1
